,func,url,url_f
68,上選基金,/TSB/personal/investment/fund/selective-found/,https://www.taishinbank.com.tw/TSB/personal/investment/fund/selective-found/
69,基金公告,/TSB/personal/investment/fund/found-news/,https://www.taishinbank.com.tw/TSB/personal/investment/fund/found-news/
70,集合管理帳戶,/TSB/personal/investment/fund/money-manage/,https://www.taishinbank.com.tw/TSB/personal/investment/fund/money-manage/
71,海外債券,/TSB/personal/investment/offshore-bond/offshore-bond/,https://www.taishinbank.com.tw/TSB/personal/investment/offshore-bond/offshore-bond/
72,外國ETF,/TSB/personal/investment/offshore-bond/foreign-ETF/,https://www.taishinbank.com.tw/TSB/personal/investment/offshore-bond/foreign-ETF/
73,外國股票,/TSB/personal/investment/offshore-bond/foreign-stock/,https://www.taishinbank.com.tw/TSB/personal/investment/offshore-bond/foreign-stock/
74,其他外國有價證券,/TSB/personal/investment/offshore-bond/other-offshore-bond/,https://www.taishinbank.com.tw/TSB/personal/investment/offshore-bond/other-offshore-bond/
75,市場資訊,/TSB/personal/investment/offshore-bond/market-info/,https://www.taishinbank.com.tw/TSB/personal/investment/offshore-bond/market-info/
76,產品總覽/淨值查詢,/TSB/personal/investment/offshore-bond/product-overview_net-search/,https://www.taishinbank.com.tw/TSB/personal/investment/offshore-bond/product-overview_net-search/
77,外國ETF通路報酬揭露,/TSB/personal/investment/offshore-bond/etf-pay-messag/,https://www.taishinbank.com.tw/TSB/personal/investment/offshore-bond/etf-pay-messag/
78,境外結構型商品,/TSB/personal/investment/structure/offshore-structured-products/,https://www.taishinbank.com.tw/TSB/personal/investment/structure/offshore-structured-products/
79,境內結構型商品(銀行發行),/TSB/personal/investment/structure/structured-products-bank-issue/,https://www.taishinbank.com.tw/TSB/personal/investment/structure/structured-products-bank-issue/
80,境內結構型商品(證券發行),/TSB/personal/investment/structure/structured-products-securities-issuance/,https://www.taishinbank.com.tw/TSB/personal/investment/structure/structured-products-securities-issuance/
81,衍生性商品,/TSB/personal/investment/more-invest-products/financial-derivatives/,https://www.taishinbank.com.tw/TSB/personal/investment/more-invest-products/financial-derivatives/
82,黃金帳戶,/TSB/personal/investment/more-invest-products/gold-account/,https://www.taishinbank.com.tw/TSB/personal/investment/more-invest-products/gold-account/
83,票債券,/TSB/personal/investment/more-invest-products/bills-and-bonds/,https://www.taishinbank.com.tw/TSB/personal/investment/more-invest-products/bills-and-bonds/
84,證券,/TSB/personal/investment/more-invest-products/securities/product-description/,https://www.taishinbank.com.tw/TSB/personal/investment/more-invest-products/securities/product-description/
85,產品介紹,/TSB/personal/investment/trust-planning/trust-intro-planning/,https://www.taishinbank.com.tw/TSB/personal/investment/trust-planning/trust-intro-planning/
86,稅務新知,/TSB/personal/investment/trust-planning/tax/,https://www.taishinbank.com.tw/TSB/personal/investment/trust-planning/tax/
87,公益信託公告,/TSB/personal/investment/trust-planning/charitable-trust/,https://www.taishinbank.com.tw/TSB/personal/investment/trust-planning/charitable-trust/
88,預收款信託公告,/TSB/personal/investment/trust-planning/trust-of-money/,https://www.taishinbank.com.tw/TSB/personal/investment/trust-planning/trust-of-money/
89,e指Fun心保,https://www.taishinbank.com.tw/eService/insurance/index.jsp?utm_source=ts&utm_medium=ob&utm_content=banner_efunins&utm_campaign=ia,https://www.taishinbank.com.tw/eService/insurance/index.jsp?utm_source=ts&utm_medium=ob&utm_content=banner_efunins&utm_campaign=ia
90,認識保險,/TSB/personal/insurance/choose-insurance/understanding-of-insurance/,https://www.taishinbank.com.tw/TSB/personal/insurance/choose-insurance/understanding-of-insurance/
91,自由單身族,/TSB/personal/insurance/choose-insurance/single/,https://www.taishinbank.com.tw/TSB/personal/insurance/choose-insurance/single/
92,新婚甜蜜小家庭族,/TSB/personal/insurance/choose-insurance/couple/,https://www.taishinbank.com.tw/TSB/personal/insurance/choose-insurance/couple/
93,美滿壯年族,/TSB/personal/insurance/choose-insurance/parents/,https://www.taishinbank.com.tw/TSB/personal/insurance/choose-insurance/parents/
94,退休銀髮族,/TSB/personal/insurance/choose-insurance/retiree/,https://www.taishinbank.com.tw/TSB/personal/insurance/choose-insurance/retiree/
95,投資型保險,/TSB/personal/insurance/product/investment-insurance/,https://www.taishinbank.com.tw/TSB/personal/insurance/product/investment-insurance/
96,儲蓄型保險,/TSB/personal/insurance/product/savings-oriented-product/,https://www.taishinbank.com.tw/TSB/personal/insurance/product/savings-oriented-product/
97,保障型保險,/TSB/personal/insurance/product/protection-oriented-product/,https://www.taishinbank.com.tw/TSB/personal/insurance/product/protection-oriented-product/
98,健康/意外險,/TSB/personal/insurance/product/health-insurance-and-accident-insurance/,https://www.taishinbank.com.tw/TSB/personal/insurance/product/health-insurance-and-accident-insurance/
99,房貸壽險,/TSB/personal/insurance/product/mortgage-life-insurance/,https://www.taishinbank.com.tw/TSB/personal/insurance/product/mortgage-life-insurance/
100,數位保險,/TSB/personal/insurance/product/digital-insurance/,https://www.taishinbank.com.tw/TSB/personal/insurance/product/digital-insurance/
